,questionType,asin,question,answerType,answer
3801,open-ended,B003VUM9XM,If I buy print shop 23 can I access my old files from print shop 22?,,The simple answer is yes.
3802,open-ended,B003VUM9XM,What does (JC) mean?,,Jewel Case
3803,yes/no,B003VUM9XM,Is Print Shop Deluxe v23 the upgrade to Print Shop Deluxe 12?,Y,"It's actually not an upgrade at all, but a complete software program. There is a new version 3 of Print Shop that sells for nearly $50 and I bought that when my old Print Shop wasn't compatible with Windows 7. V23 is great...very uncomplicated like the older versions of PS. Hope this helps."
3804,yes/no,B003VUM9XM,can this program create certificates? Description doesn't mention certificates.,?,I have not used the certificates part of Print Shop but I just checked it out and they have a very wide variety of certificates that you can create. Good luck.
3805,yes/no,B003VUM9XM,Can you output a pdf?,?,When the document is done you can click on the file tab and save as a PDF.
3806,yes/no,B003VUM9XM,does it work with windows 7,Y,It worked on Windows XP and also on Windows 8.1. Can't believe it wouldn't work on Windows 7.
3807,yes/no,B003VUM9XM,"Is ""The Print Shop v.23"" the same version as v.23.1???",Y,My box states Version 23. All I know is it works well with my Windows 7 and Windows 8 laptops. I've used it for a few months and have had no issues with it. I have always likes using all the older versions of Print Shop over the years so that's why I bought the newest one because I upgraded my computers.
3808,open-ended,B003VUM9XM,Is Print Shop 23 compatibile with Word? Can I open .cph files in Word? I have Windows 7.,,"No, you can only open printshop files in printshop."
3809,yes/no,B003VUM9XM,Can only print 1 page at a time. I am using Windows 7 and only have this problem on Print Shop.,?,"You know, I thought it was just something I did wrong. Example: I will have a one page project that I need 15 copies of and sometimes it will only print one copy no matter how many I put in for it to print and other times I get all the copies I ask for. So now that you say that, I'd have to say it is a glitch. I have Windows 7 also and an old HP Office Jet Printer."
3810,open-ended,B003VUM9XM,How do I delete printing choices from the print wizard?,,I believe you just can delete it. I have never don this kind of thing.
3811,yes/no,B003WT1KAK,does iBank 4 offer Class function? Need to sort Categories for business purposes.,N,"No, unlike Quicken iBank does not have a Class designation. You can do sub categories such as TAXES:Federal, TAXES:State, TAXES:City, etc. You can subcategorize any category."
3812,yes/no,B003WT1KAK,is it good for small businesses,?,I only use it for personal finances. Your best bet would be tobtrybit out. You should be able to down load trial version to test drive to see how it works for you.
3813,open-ended,B003WT1KAK,Is there a separate iBank Canadian version? Or is there even a need for that?,,No need for that you select the Country at the beginning so it will select the correct currency.
3814,open-ended,B003WT1KAK,Which version is Amazon selling? If it's an older version (4.3.5) will IGG upgrade to 4.7 for free?,,"I am away from my home computer right now so I can't tell you exactly which version, BUT when I went to install it, it gave me a few worries and so I called customer support and they did their magic and took my numbers and then downloaded the current/best version for running on on an iMac/OS 10.8.2. They were helpful and polite and after the download all went smoothly and I moved ahead. I think you could download the free trial version and then when you decide it works for you, then just purchase it directly from IGG. Hope this is helpful. I am not a heavy iBank user, but have been pleased with my limited use."
3815,yes/no,B003WT1KAK,"Are competitors orchestrating a malicious campaign to torpedo iBank with dishonest, baseless negative reviews? Sure looks like it.",?,"It looks like it to me, as well. I've used the product for three years. It is not as robust as Quicken in terms of its reporting capabilities, but it's much more stable than Quicken and has an excellent interface. It's not like Quicken is even trying to serve the Mac OS, anyway. I would never switch back."
3816,yes/no,B003WT1KAK,Is it compatible with Mac OS X 10.9?,?,I suggest that you check the developer's website.
3817,yes/no,B003WT1KAK,will this version work on my mac 10.7.5,Y,I have ibank 4.7.3 and it works on my Mac with OS X 10.9.4
3818,open-ended,B003WT1KAK,does it come with checks or is check soft checks compatible: Is the 240hz worth the extra money. thanks.,,"iBank does not include checks, but you can print to any size check, preprinted or not - you can even print to plain paper."
3819,open-ended,B003WT1KAK,I want to find a class or a tutor for iBank near 90066. I am having difficulty understanding how to use the program and live chat does not work for,,"I am not aware of any. I only use this for my investments, not for banking, etc. or I would be happy to help you."
3820,yes/no,B003WT1KAK,does iBank 4 offer Class function? Need to sort Categories for business purposes.,N,"No, unlike Quicken iBank does not have a Class designation. You can do sub categories such as TAXES:Federal, TAXES:State, TAXES:City, etc. You can subcategorize any category."
3821,yes/no,B003WT1KAK,is it good for small businesses,?,I only use it for personal finances. Your best bet would be tobtrybit out. You should be able to down load trial version to test drive to see how it works for you.
3822,open-ended,B003WT1KAK,Is there a separate iBank Canadian version? Or is there even a need for that?,,No need for that you select the Country at the beginning so it will select the correct currency.
3823,open-ended,B003WT1KAK,Which version is Amazon selling? If it's an older version (4.3.5) will IGG upgrade to 4.7 for free?,,"I am away from my home computer right now so I can't tell you exactly which version, BUT when I went to install it, it gave me a few worries and so I called customer support and they did their magic and took my numbers and then downloaded the current/best version for running on on an iMac/OS 10.8.2. They were helpful and polite and after the download all went smoothly and I moved ahead. I think you could download the free trial version and then when you decide it works for you, then just purchase it directly from IGG. Hope this is helpful. I am not a heavy iBank user, but have been pleased with my limited use."
3824,yes/no,B003WT1KAK,"Are competitors orchestrating a malicious campaign to torpedo iBank with dishonest, baseless negative reviews? Sure looks like it.",?,"It looks like it to me, as well. I've used the product for three years. It is not as robust as Quicken in terms of its reporting capabilities, but it's much more stable than Quicken and has an excellent interface. It's not like Quicken is even trying to serve the Mac OS, anyway. I would never switch back."
3825,yes/no,B003WT1KAK,Is it compatible with Mac OS X 10.9?,?,I suggest that you check the developer's website.
3826,yes/no,B003WT1KAK,will this version work on my mac 10.7.5,Y,I have ibank 4.7.3 and it works on my Mac with OS X 10.9.4
3827,open-ended,B003WT1KAK,does it come with checks or is check soft checks compatible: Is the 240hz worth the extra money. thanks.,,"iBank does not include checks, but you can print to any size check, preprinted or not - you can even print to plain paper."
3828,open-ended,B003WT1KAK,I want to find a class or a tutor for iBank near 90066. I am having difficulty understanding how to use the program and live chat does not work for,,"I am not aware of any. I only use this for my investments, not for banking, etc. or I would be happy to help you."
3829,yes/no,B003XJCP1C,Does this software competable with Windows 8?,?,"Q: Are your sets actual software? A: No, they are Photoshop PSD format multi-layered templates. They are created and organized multi-layered graphics, backdrops, fonts & elements to save you countless hours. All the hard work is done. All you have to do is add your photos. They will work on any operating system and Photoshop or compatible PSD type image editing software."
3830,yes/no,B003XJCP1C,Will this work with Photoshop Elements?,Y,"Yes, it will. (and does...)"
3831,open-ended,B003XJCP1C,What is the max resolution for these backgrounds? Can you create a 30x40 canvas print?,,They are all 300dpi and easily can be enlarged. Most printing sites would downsize the image file to 200dpi for such a large canvas primt.
3832,yes/no,B003XJCP1C,Does it include wedding backdrop photos?,?,"I honestly think these are a waste of money! I am not impressed in any way, shape or form with these layouts and how they are used. If I were you, I'd spend the extra money for another set ;)"
3833,yes/no,B003XJCP1C,Do you have to have photoshop to use this? I'm brand new at photography,Y,Yes. I to ram into this when I 1st bought them. I have Adobe cs6
3834,yes/no,B003XJCP1C,Does it have anything for track?,?,Our Sports V1 Template set that comes with this massive collection is design to allow any sport theme with it's modern layout. Let us know if you have any questions Clayton TheGraphicOutlet
3835,open-ended,B003XJCP1C,I see that many of the sports and school templates have the year 2010. Can the text be changed? Will I be able to change 2010 to 2014 and so on?,,"Yes. All our templates allow for detailed changed. Dates, names, background graphic elements and much more. Let us know if you need anything else. Clayton TheGraphicOutlet"
3836,yes/no,B003XJCP1C,"Is there somewhere I can see the sports memory mates, if there is one",?,"I can't give website links here, but several examples are shown in display area here. Just click and browes"
3837,yes/no,B003XJCP1C,"Will this program work with adobe Photoshop elements 12, does it also work as a stand alone program?",Y,Idk if it works with elements but it does work as a stand alone cause it's like frames
3838,open-ended,B003XKRZES,I recently discovered that my imac does not have idvd installed-only iphoto and garage band. Is this dvd an original installation or an upgrade only?,,"The Original&,everything up to present!(Really can't go Wrong!!).I have no regrets!. I hope this helps:)"
3839,yes/no,B003XKRZES,is iDVD '09 is better then iDVD '11 version?,N,"I own iLife'04 and iLife'11 but not iLife'09. The promos and packaging of iLife'11 suggest the major improvements since iLife'09 are to iPhoto (v.9), iMovie (v.9), and GarageBand (v.6). Although iWeb and iDVD are are again included in the 5-app iLife'11 bundle, I don't think there's been much if any change to these apps since iLife'09. The version of iDVD that came with iLife'11 was v7.1 (so you can check against your current version). Personally, I needed iWeb v3 to solve v2 backwards compatibility problems."
3840,open-ended,B003XKRZES,"Can I upload only the iDVD program? My iMovie 11 does not have iDVD. If so, is there anything else I should do to make the iMovie &amp; the iDVD programs compatible?",,Yes you can. But make sure you have a backup through Time Machine. The upload of iDVD may mess up iPhoto.
3841,yes/no,B003XKRZES,Does this version come with iDVD and iMovie?,Y,Yes it does. I only chose to install iDVD as the newer Macs don't come with it. I kept the current version of iMovie and it works fine with the older version of iDVD.
3842,open-ended,B003XKRZES,what version of iPhoto is on this disk?,,"9.0 is on the disc. Once you install it from the disk, you'll want to immediately update it BEFORE launching iPhoto for the first time. There is a data loss bug in 9.0. The latest version is 9.4.2. Enjoy"
3843,yes/no,B003XKRZES,"Can this be installed separately without writing over the existing iLife '09? I'm not as interested in iPhoto, but more for iDVD and iMovie.",N,"I don't know about not writing over iLife '09. However, when I installed the old version of iLife 11, the installation DID NOT write over my iLife 6. So your guess is as good as mine!!!"
3844,yes/no,B003XKRZES,Does it work with OS X Snow Leopard 10.6.3,?,"I do know about Snow Leopard, it works with the latest ver of mountain lion"
3845,yes/no,B003XKRZES,"Will this work with OX S Yosemite, 10.10.2?",?,"As was explained to me at Apple, the iLife '11 is necessary to install OSX Yosemite, 10.10.2. Hence it precedes Yosemite. Therefore, if your Mac has Yosemite, then the iLife '11 features are already available. At the same time, if you do not have Yosemite then iLife '11 is a necessary software upgrade to install Yosemite properly. I hope this helps."
3846,yes/no,B003XKRZES,Will this work with Mavericks 10.9.5? I would be buying it for iMovie '11.,Y,"I have Mavericks 10.9.1, and I bought it for iMovie '11. It works great - assume that it would for 10.9.5 as well."
3847,yes/no,B003XKRZES,Hello...will iLife 2011 work on a MAC OSX 10.7.5 operating system? Thanks for your help!,?,"It worked just fine on my Mac OSX10 from 2011. I no longer have this machine so I do not remember the exact OSX designation. In any event, I would give this a try. The greatest probability is that it will work."
3848,open-ended,B003XKRZES,I recently discovered that my imac does not have idvd installed-only iphoto and garage band. Is this dvd an original installation or an upgrade only?,,"The Original&,everything up to present!(Really can't go Wrong!!).I have no regrets!. I hope this helps:)"
3849,yes/no,B003XKRZES,is iDVD '09 is better then iDVD '11 version?,N,"I own iLife'04 and iLife'11 but not iLife'09. The promos and packaging of iLife'11 suggest the major improvements since iLife'09 are to iPhoto (v.9), iMovie (v.9), and GarageBand (v.6). Although iWeb and iDVD are are again included in the 5-app iLife'11 bundle, I don't think there's been much if any change to these apps since iLife'09. The version of iDVD that came with iLife'11 was v7.1 (so you can check against your current version). Personally, I needed iWeb v3 to solve v2 backwards compatibility problems."
3850,open-ended,B003XKRZES,"Can I upload only the iDVD program? My iMovie 11 does not have iDVD. If so, is there anything else I should do to make the iMovie &amp; the iDVD programs compatible?",,Yes you can. But make sure you have a backup through Time Machine. The upload of iDVD may mess up iPhoto.
3851,yes/no,B003XKRZES,Does this version come with iDVD and iMovie?,Y,Yes it does. I only chose to install iDVD as the newer Macs don't come with it. I kept the current version of iMovie and it works fine with the older version of iDVD.
3852,open-ended,B003XKRZES,what version of iPhoto is on this disk?,,"9.0 is on the disc. Once you install it from the disk, you'll want to immediately update it BEFORE launching iPhoto for the first time. There is a data loss bug in 9.0. The latest version is 9.4.2. Enjoy"
3853,yes/no,B003XKRZES,"Can this be installed separately without writing over the existing iLife '09? I'm not as interested in iPhoto, but more for iDVD and iMovie.",N,"I don't know about not writing over iLife '09. However, when I installed the old version of iLife 11, the installation DID NOT write over my iLife 6. So your guess is as good as mine!!!"
3854,yes/no,B003XKRZES,Does it work with OS X Snow Leopard 10.6.3,?,"I do know about Snow Leopard, it works with the latest ver of mountain lion"
3855,yes/no,B003XKRZES,"Will this work with OX S Yosemite, 10.10.2?",?,"As was explained to me at Apple, the iLife '11 is necessary to install OSX Yosemite, 10.10.2. Hence it precedes Yosemite. Therefore, if your Mac has Yosemite, then the iLife '11 features are already available. At the same time, if you do not have Yosemite then iLife '11 is a necessary software upgrade to install Yosemite properly. I hope this helps."
3856,yes/no,B003XKRZES,Will this work with Mavericks 10.9.5? I would be buying it for iMovie '11.,Y,"I have Mavericks 10.9.1, and I bought it for iMovie '11. It works great - assume that it would for 10.9.5 as well."
3857,yes/no,B003XKRZES,Hello...will iLife 2011 work on a MAC OSX 10.7.5 operating system? Thanks for your help!,?,"It worked just fine on my Mac OSX10 from 2011. I no longer have this machine so I do not remember the exact OSX designation. In any event, I would give this a try. The greatest probability is that it will work."
3858,yes/no,B003Y68OKU,will this work for W7 to W8 too?,?,Hi Stuart. I used one of Laplink's 'PCMover' programs to upgrade from Vista to Win7; it worked really well and was simple to use.There is a PDF guide which you can download and print out; this takes you step by step through the upgrade process. Laplink's support team headed by Ray Pettit is excellent; you can chat online for help if needed. This link will advise you which program is most suitable : http://www.laplink.com/index.php/individuals/pcmover-for-windows-8/feature-overview Regards Bob.
3859,open-ended,B003Y68OKU,After the software has migrated the files &amp; software from the old computer to the new computer do the files and software still remain on the old one?,,"Yes, the files remain on your old computer."
3860,open-ended,B003Y68OKU,"What are the differences between PCmover Pro, Ultimate and Home? I want to transfer programs from XP to Win 7 on a Mac.",,"Sorry, I cannot answer that. I never got it to work for me at all."
3861,yes/no,B003Y68OKU,does it move the operating system,Y,"Dan, Yes it moves the system. It has defaults that suggest which programs to move. The defaults can be overridden. Your new MS system will have a built in mover which suggests a special cable. The cost of the cable is about the same as the price for PC Mover which comes with a cable."
3862,open-ended,B003Y68OKU,Laplink PC Mover Windows 7 for XP and Vista: Is this software available for use on more than one PC?,,As far as I unders
3863,yes/no,B003YCOJAS,Can this purchase be used on 2 new 2014 Macs owned by same person - a laptop and a desktop with up to date Apple software? Thanks.,Y,"Yes, the terms state 1 user & 2 computers, a primary computer and portable computer. B"
3864,yes/no,B003YCOJAS,"Can you have 1 license and 2 users on the same IMAC? Can we use the single license, 1 user or do we need to buy the family pack.",?,"Your license would cover any number users on one computer. You can also install it on a second computer, provided it is for one of the original users and isn't used at the same time as the original installation."
3865,yes/no,B003YCOJAS,"does the fact that the product description on the Amazon website does not include ""(download)"" imply that the software is on a disc?",Y,"Yes, it is a software disc that will be shipped to you."
3866,open-ended,B003YCOJAS,Will Outlook for Mac calendar work on iPhone? Anyone else trying to do this too?,,"I'd suggest using BusyCal. You can try a trial version and see if you like it and if it suits your purpose. I use it and love it. It's like iCal on steroids. It also keeps all of my calendar information synced with Google and from there back down to my iPhone. If I edit anything through BusyCal, Google or my iPhone, it automatically updates to the other two areas."
3867,open-ended,B003YCOJAS,Is this a CD/DVD version or an internet download?,,"Yes, it is."
3868,yes/no,B003YCOJAS,"Can I uninstall, to reinstall on my new computer?",?,"I don't think you have to uninstall, but you may have to contact Microsoft so they can honor the old Key. Try installing -it may work and you then won't have to do anything."
3869,yes/no,B003YCOJAS,"do you need a ""parallel program""?",?,No. This is a package of native Mac OS X applications with a normal Mac installer.
3870,yes/no,B003YCOJAS,will it work on Mac Pro 10.9.4 Maverick?,Y,"Yes, it does. There are updates issued that will download through Microsoft Update process that will bring it up to speed. The email with your question came in on MS Outlook as example."
3871,open-ended,B003YCOJAS,dpes this version work with OS Maverick,,YES.
3872,open-ended,B003YCOJAS,How long does this take to download and install?,,"Download was within a few minutes, I can use the program on my MAC and then work the same document on a Microsoft computer. yes back and forth very nice program. If you are use to the Microsoft Office you will catch on quick with the MAC style program. GREAT BUY!!!! contact me at lschubkegel at yahoo if you need more information.."
3873,yes/no,B003YCOJAS,Can this purchase be used on 2 new 2014 Macs owned by same person - a laptop and a desktop with up to date Apple software? Thanks.,Y,"Yes, the terms state 1 user & 2 computers, a primary computer and portable computer. B"
3874,yes/no,B003YCOJAS,"Can you have 1 license and 2 users on the same IMAC? Can we use the single license, 1 user or do we need to buy the family pack.",?,"Your license would cover any number users on one computer. You can also install it on a second computer, provided it is for one of the original users and isn't used at the same time as the original installation."
3875,yes/no,B003YCOJAS,"does the fact that the product description on the Amazon website does not include ""(download)"" imply that the software is on a disc?",Y,"Yes, it is a software disc that will be shipped to you."
3876,open-ended,B003YCOJAS,Will Outlook for Mac calendar work on iPhone? Anyone else trying to do this too?,,"I'd suggest using BusyCal. You can try a trial version and see if you like it and if it suits your purpose. I use it and love it. It's like iCal on steroids. It also keeps all of my calendar information synced with Google and from there back down to my iPhone. If I edit anything through BusyCal, Google or my iPhone, it automatically updates to the other two areas."
3877,open-ended,B003YCOJAS,Is this a CD/DVD version or an internet download?,,"Yes, it is."
3878,yes/no,B003YCOJAS,"Can I uninstall, to reinstall on my new computer?",?,"I don't think you have to uninstall, but you may have to contact Microsoft so they can honor the old Key. Try installing -it may work and you then won't have to do anything."
3879,yes/no,B003YCOJAS,"do you need a ""parallel program""?",?,No. This is a package of native Mac OS X applications with a normal Mac installer.
3880,yes/no,B003YCOJAS,will it work on Mac Pro 10.9.4 Maverick?,Y,"Yes, it does. There are updates issued that will download through Microsoft Update process that will bring it up to speed. The email with your question came in on MS Outlook as example."
3881,open-ended,B003YCOJAS,dpes this version work with OS Maverick,,YES.
3882,open-ended,B003YCOJAS,How long does this take to download and install?,,"Download was within a few minutes, I can use the program on my MAC and then work the same document on a Microsoft computer. yes back and forth very nice program. If you are use to the Microsoft Office you will catch on quick with the MAC style program. GREAT BUY!!!! contact me at lschubkegel at yahoo if you need more information.."
3883,open-ended,B003YCOJA8,Why do you need this if you can save in .doc format? Why would you need this?,,"You are right. You should be able to save files as Word .doc or Excel .xls files. However, I took minutes at a Board of Directors meeting and could not successfully save the document so it could be read in Microsoft. I ended up printing the pages, then retyping them into Word. I'm not savvy with the MacBook Pro yet, but had a girl working for me who knew Apple well and could not convert the file to a readable .doc file. I think the Mac version of Office is the better way to go. Good luck. P.S. love your movies!"
3884,open-ended,B003YCOJA8,Does this come with a CD? Or is it a download? My new MacBook doesn't have a CD slot.,,This is a DVD.
3885,open-ended,B003YCOJA8,Office 2008 versus 2011 for MacBrook Pro with Lion: Would Office 2008 do the job for me and would Lion support it ( My MacBoork Pro is Intel dual core},,"I just contacted Apple after installing Lion and finding out-to my dismay-that Office 2004 & earlier aren't supported (PowerPC based). The reviews of Office 2011 don't look like that version is stable. So, if I buy 2008, I actually have to uninstall Lion and re-install Snow Leopard? Apple's solution was to buy the upgrade of office or reinstall Snow Leopard-which they said was ""very difficult"". This is absolutely unacceptable! When I asked whether it was an oversight or intentional that PowerPC wasn't supported by Lion, I got ""I don't know, I don't have communication with the developers"". Pages won't open office documents either. So...given the choices, I am extraordinarily disappointed with Apple on this one and hope they will come up with a solution, upgrade or patch that works. In the meantime, Try downloading Neo Office for free. It works with Lion even though it is a very basic word processing system. Anybody at Apple listening?"
3886,open-ended,B003YCOJA8,Difference Between Home/Student and Home/Student/Family: What is the difference between Microsoft Office for MAC Home/Student at $99.99 and Office for MAC Home/Student/Family at $124.22?,,"I believe the designation of family means that product has 3 users/3 licenses to load the software, while the other on only has 1user/1 license."
3887,yes/no,B003YCOJA8,Can this be installed into 3 Macs?,?,"I only have one Mac, so I haven't tested the permissible number but the box calls it a ""family pack"" and says it is licensed for up to three Macs per household."
3888,open-ended,B003YCOJA8,"Why is this marked ""Old Version""? Is there a difference between this and the regular MS Office 2011 for Mac? (other than price).",,"Not exactly sure but Office 2013 is out making this Office 2011 for MAC version an ""old version"". That being said I take my .doc and .ppt's to church where we use different versions of Office (2003, 2007, 2010) on several different PC's and the Office MAC documents work without issue. I'm very happy with the program."
3889,open-ended,B003YCOJA8,"promotion? If I bought Office for Mac 2011 edition on Amazon, does it mean I get the 2013 edition for free?",,"Microsoft has stated that there is no plan to release MS Office 2013 for Mac, only an update that would enable Microsoft's cloud storage option. Your free upgrade would presumably apply to the next Mac version, when it ultimately is delivered."
3890,yes/no,B003YCOJA8,Does this come with the disc to download????,?,Mine did. And it works really well on my Mac.
3891,yes/no,B003YCOJA8,"does it work with mountain lion, OS X",Y,"Yes it does, I am using it with Mountain Lion OS 10.8.6"
3892,open-ended,B003YCOJA8,Is Publisher no longer part of the package? If not what can I use which is the same ?,,Hi. Publisher is not part of the program. I've never used it so I don't know - I've always used Quark or Creative Suite. Sorry I can't be of more help.
3893,open-ended,B003YCOJA8,Why do you need this if you can save in .doc format? Why would you need this?,,"You are right. You should be able to save files as Word .doc or Excel .xls files. However, I took minutes at a Board of Directors meeting and could not successfully save the document so it could be read in Microsoft. I ended up printing the pages, then retyping them into Word. I'm not savvy with the MacBook Pro yet, but had a girl working for me who knew Apple well and could not convert the file to a readable .doc file. I think the Mac version of Office is the better way to go. Good luck. P.S. love your movies!"
3894,open-ended,B003YCOJA8,Does this come with a CD? Or is it a download? My new MacBook doesn't have a CD slot.,,This is a DVD.
3895,open-ended,B003YCOJA8,Office 2008 versus 2011 for MacBrook Pro with Lion: Would Office 2008 do the job for me and would Lion support it ( My MacBoork Pro is Intel dual core},,"I just contacted Apple after installing Lion and finding out-to my dismay-that Office 2004 & earlier aren't supported (PowerPC based). The reviews of Office 2011 don't look like that version is stable. So, if I buy 2008, I actually have to uninstall Lion and re-install Snow Leopard? Apple's solution was to buy the upgrade of office or reinstall Snow Leopard-which they said was ""very difficult"". This is absolutely unacceptable! When I asked whether it was an oversight or intentional that PowerPC wasn't supported by Lion, I got ""I don't know, I don't have communication with the developers"". Pages won't open office documents either. So...given the choices, I am extraordinarily disappointed with Apple on this one and hope they will come up with a solution, upgrade or patch that works. In the meantime, Try downloading Neo Office for free. It works with Lion even though it is a very basic word processing system. Anybody at Apple listening?"
3896,open-ended,B003YCOJA8,Difference Between Home/Student and Home/Student/Family: What is the difference between Microsoft Office for MAC Home/Student at $99.99 and Office for MAC Home/Student/Family at $124.22?,,"I believe the designation of family means that product has 3 users/3 licenses to load the software, while the other on only has 1user/1 license."
3897,yes/no,B003YCOJA8,Can this be installed into 3 Macs?,?,"I only have one Mac, so I haven't tested the permissible number but the box calls it a ""family pack"" and says it is licensed for up to three Macs per household."
3898,open-ended,B003YCOJA8,"Why is this marked ""Old Version""? Is there a difference between this and the regular MS Office 2011 for Mac? (other than price).",,"Not exactly sure but Office 2013 is out making this Office 2011 for MAC version an ""old version"". That being said I take my .doc and .ppt's to church where we use different versions of Office (2003, 2007, 2010) on several different PC's and the Office MAC documents work without issue. I'm very happy with the program."
3899,open-ended,B003YCOJA8,"promotion? If I bought Office for Mac 2011 edition on Amazon, does it mean I get the 2013 edition for free?",,"Microsoft has stated that there is no plan to release MS Office 2013 for Mac, only an update that would enable Microsoft's cloud storage option. Your free upgrade would presumably apply to the next Mac version, when it ultimately is delivered."
3900,yes/no,B003YCOJA8,Does this come with the disc to download????,?,Mine did. And it works really well on my Mac.
3901,yes/no,B003YCOJA8,"does it work with mountain lion, OS X",Y,"Yes it does, I am using it with Mountain Lion OS 10.8.6"
3902,open-ended,B003YCOJA8,Is Publisher no longer part of the package? If not what can I use which is the same ?,,Hi. Publisher is not part of the program. I've never used it so I don't know - I've always used Quark or Creative Suite. Sorry I can't be of more help.
3903,open-ended,B003YCOJAI,Why do you need this if you can save in .doc format? Why would you need this?,,"You are right. You should be able to save files as Word .doc or Excel .xls files. However, I took minutes at a Board of Directors meeting and could not successfully save the document so it could be read in Microsoft. I ended up printing the pages, then retyping them into Word. I'm not savvy with the MacBook Pro yet, but had a girl working for me who knew Apple well and could not convert the file to a readable .doc file. I think the Mac version of Office is the better way to go. Good luck. P.S. love your movies!"
3904,open-ended,B003YCOJAI,Does this come with a CD? Or is it a download? My new MacBook doesn't have a CD slot.,,This is a DVD.
3905,open-ended,B003YCOJAI,Office 2008 versus 2011 for MacBrook Pro with Lion: Would Office 2008 do the job for me and would Lion support it ( My MacBoork Pro is Intel dual core},,"I just contacted Apple after installing Lion and finding out-to my dismay-that Office 2004 & earlier aren't supported (PowerPC based). The reviews of Office 2011 don't look like that version is stable. So, if I buy 2008, I actually have to uninstall Lion and re-install Snow Leopard? Apple's solution was to buy the upgrade of office or reinstall Snow Leopard-which they said was ""very difficult"". This is absolutely unacceptable! When I asked whether it was an oversight or intentional that PowerPC wasn't supported by Lion, I got ""I don't know, I don't have communication with the developers"". Pages won't open office documents either. So...given the choices, I am extraordinarily disappointed with Apple on this one and hope they will come up with a solution, upgrade or patch that works. In the meantime, Try downloading Neo Office for free. It works with Lion even though it is a very basic word processing system. Anybody at Apple listening?"
3906,open-ended,B003YCOJAI,Difference Between Home/Student and Home/Student/Family: What is the difference between Microsoft Office for MAC Home/Student at $99.99 and Office for MAC Home/Student/Family at $124.22?,,"I believe the designation of family means that product has 3 users/3 licenses to load the software, while the other on only has 1user/1 license."
3907,yes/no,B003YCOJAI,Can this be installed into 3 Macs?,?,"I only have one Mac, so I haven't tested the permissible number but the box calls it a ""family pack"" and says it is licensed for up to three Macs per household."
3908,open-ended,B003YCOJAI,"Why is this marked ""Old Version""? Is there a difference between this and the regular MS Office 2011 for Mac? (other than price).",,"Not exactly sure but Office 2013 is out making this Office 2011 for MAC version an ""old version"". That being said I take my .doc and .ppt's to church where we use different versions of Office (2003, 2007, 2010) on several different PC's and the Office MAC documents work without issue. I'm very happy with the program."
3909,open-ended,B003YCOJAI,"promotion? If I bought Office for Mac 2011 edition on Amazon, does it mean I get the 2013 edition for free?",,"Microsoft has stated that there is no plan to release MS Office 2013 for Mac, only an update that would enable Microsoft's cloud storage option. Your free upgrade would presumably apply to the next Mac version, when it ultimately is delivered."
3910,yes/no,B003YCOJAI,Does this come with the disc to download????,?,Mine did. And it works really well on my Mac.
3911,yes/no,B003YCOJAI,"does it work with mountain lion, OS X",Y,"Yes it does, I am using it with Mountain Lion OS 10.8.6"
3912,open-ended,B003YCOJAI,Is Publisher no longer part of the package? If not what can I use which is the same ?,,Hi. Publisher is not part of the program. I've never used it so I don't know - I've always used Quark or Creative Suite. Sorry I can't be of more help.
3913,open-ended,B003YCOJAI,Why do you need this if you can save in .doc format? Why would you need this?,,"You are right. You should be able to save files as Word .doc or Excel .xls files. However, I took minutes at a Board of Directors meeting and could not successfully save the document so it could be read in Microsoft. I ended up printing the pages, then retyping them into Word. I'm not savvy with the MacBook Pro yet, but had a girl working for me who knew Apple well and could not convert the file to a readable .doc file. I think the Mac version of Office is the better way to go. Good luck. P.S. love your movies!"
3914,open-ended,B003YCOJAI,Does this come with a CD? Or is it a download? My new MacBook doesn't have a CD slot.,,This is a DVD.
3915,open-ended,B003YCOJAI,Office 2008 versus 2011 for MacBrook Pro with Lion: Would Office 2008 do the job for me and would Lion support it ( My MacBoork Pro is Intel dual core},,"I just contacted Apple after installing Lion and finding out-to my dismay-that Office 2004 & earlier aren't supported (PowerPC based). The reviews of Office 2011 don't look like that version is stable. So, if I buy 2008, I actually have to uninstall Lion and re-install Snow Leopard? Apple's solution was to buy the upgrade of office or reinstall Snow Leopard-which they said was ""very difficult"". This is absolutely unacceptable! When I asked whether it was an oversight or intentional that PowerPC wasn't supported by Lion, I got ""I don't know, I don't have communication with the developers"". Pages won't open office documents either. So...given the choices, I am extraordinarily disappointed with Apple on this one and hope they will come up with a solution, upgrade or patch that works. In the meantime, Try downloading Neo Office for free. It works with Lion even though it is a very basic word processing system. Anybody at Apple listening?"
3916,open-ended,B003YCOJAI,Difference Between Home/Student and Home/Student/Family: What is the difference between Microsoft Office for MAC Home/Student at $99.99 and Office for MAC Home/Student/Family at $124.22?,,"I believe the designation of family means that product has 3 users/3 licenses to load the software, while the other on only has 1user/1 license."
3917,yes/no,B003YCOJAI,Can this be installed into 3 Macs?,?,"I only have one Mac, so I haven't tested the permissible number but the box calls it a ""family pack"" and says it is licensed for up to three Macs per household."
